brand,name,price,spec_rating,processor,CPU,Ram_type,ROM_type,display_size,resolution_height,OS,Generation,Core,ram,rom,hdd,ssd,GPU_Brand,os,ppi
Asus,Vivobook 16X 2022 M1603QA-MB711WS Laptop,55990,71,5th Gen AMD Ryzen i7 5800H,"Octa Core, 16 Threads",DDR4,SSD,16,1200,Windows 11 OS,5,7,16,512,0,512,AMD,Windows,141.509717
HP,15s-eq2132AU Laptop,43990,63,5th Gen AMD Ryzen i5 5500U,"Hexa Core, 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,5,5,16,512,0,512,AMD,Windows,141.2119981
HP,255 G9 840T7PA Laptop,19850,69.32352941,3rd Gen AMD Athlon i3 3050U,"Dual Core, 2 Threads",DDR4,SSD,15.6,768,DOS OS,3,3,4,256,0,256,AMD,DOS,100.4546699
Acer,Extensa 15 EX215-33 2023 Laptop,28990,69.32352941,5th Gen Intel Core i3 N305,"Dual Core, 2 Threads",LPDDR5,SSD,15.6,1080,Windows 11 OS,5,3,8,512,0,512,Intel,Windows,141.2119981
Acer,Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,54999,71,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,16,512,0,512,NVIDIA,Windows,141.2119981
Dell,Inspiron 3530 Laptop,70990,69.32352941,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,13,7,16,512,0,512,Intel,Windows,141.2119981
Lenovo,IdeaPad Gaming 3 82SB00V2IN Laptop,56889,60,6th Gen AMD Ryzen i5 6600H,"Hexa Core, 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,6,5,8,512,0,512,NVIDIA,Windows,141.2119981
Acer,Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop,179880,78,13th Gen Intel Core i9 13900HX,"24 Cores (8P + 16E), 32 Threads",DDR5,SSD,16,1200,Windows 11 OS,13,9,16,1000,0,1000,NVIDIA,Windows,141.509717
HP,Victus 15-fb0150AX Gaming Laptop,53790,71,5th Gen AMD Ryzen i5 5600H,"Hexa Core, 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,5,5,16,512,0,512,AMD,Windows,141.2119981
Acer,Aspire Lite AL15 Laptop,37990,60,5th Gen AMD Ryzen i5 5500U,"Hexa Core, 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,5,5,16,512,0,512,AMD,Windows,141.2119981
Acer,Nitro 5 AN515-58 NH.QFSSI.001 Gaming Laptop,96990,77,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",DDR4,SSD,15.6,1440,Windows 11 OS,12,7,16,1000,0,1000,NVIDIA,Windows,188.2826641
HP,Pavilion 15-eg3081TU Laptop,71990,66,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,13,5,16,512,0,512,Intel,Windows,141.2119981
HP,Victus 16-d0333TX Gaming Laptop,59990,75,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",DDR4,SSD,16.1,1080,Windows 11 OS,11,5,16,512,0,512,NVIDIA,Windows,136.8265323
Lenovo,IdeaPad Slim 5 14IAH8 83BF0045IN Laptop,62990,60,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",LPDDR5,SSD,14,1200,Windows 11 OS,12,5,16,1000,0,1000,Intel,Windows,161.7253908
Infinix,INBook X3 Slim XL422 2023 Laptop,30990,69.32352941,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",LPDDR4X,SSD,14,1080,Windows 11 OS,12,3,8,512,0,512,Intel,Windows,157.3505121
Lenovo,LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop,74990,70,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",DDR5,SSD,15.6,1080,Windows 11 OS,12,5,16,512,0,512,NVIDIA,Windows,141.2119981
HP,15s-fr2515TU Laptop,36490,60,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,11,3,8,512,0,512,Intel,Windows,141.2119981
Dell,G15-5520 2023 Laptop,77990,73,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",DDR5,SSD,15.6,1080,Windows 11 OS,12,5,16,1000,0,1000,NVIDIA,Windows,141.2119981
Samsung,Galaxy Book2 NP550XED-KA2IN Laptop,54990,62,12th Gen Intel Core i5 1235U ,"10 Cores (2P + 8E), 12 Threads",LPDDR4,SSD,15.6,1080,Windows 11 OS,12,5,16,512,0,512,Intel,Windows,141.2119981
Lenovo,IdeaPad 3 15IAU7 82RK00WXIN Laptop,41190,69.32352941,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,3,8,256,0,256,Intel,Windows,141.2119981
Asus,ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop,89990,70,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",DDR5,SSD,16,1200,Windows 11 OS,13,5,16,512,0,512,NVIDIA,Windows,141.509717
Lenovo,Legion 9i 2023 Laptop,399999,84,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",DDR5,SSD,16,2000,Windows 11 OS,13,9,32,1000,0,1000,NVIDIA,Windows,235.8495283
Infinix,Nuvobook V1 Laptop,31990,69.32352941,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",DDR4,SSD,15.6,1920,Windows 11 OS,11,5,8,512,0,512,Intel,Windows,141.2119981
Dell,Inspiron 3525 Laptop,31490,69.32352941,5th Gen AMD Ryzen i3 5300U,"Quad Core, 8 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,5,3,8,512,0,512,AMD,Windows,141.2119981
HP,Victus 15-fa0555TX  Laptop,70590,71,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,16,512,0,512,NVIDIA,Windows,141.2119981
Asus,TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop,104990,78,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,7,16,512,0,512,NVIDIA,Windows,141.2119981
Lenovo,V15 82QYA00MIN Laptop,23990,69.32352941,3rd Gen Intel Celeron i3 N4020,"Dual Core, 2 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,3,3,8,256,0,256,Intel,Windows,141.2119981
HP,255 G9 7B1L8PA Laptop,37999,64,5th Gen AMD Ryzen i5 5625U,"Hexa Core, 12 Threads",DDR4,SSD,15.6,768,Windows 11 OS,5,5,8,512,0,512,AMD,Windows,100.4546699
LG,MagicBook X14 2023 ‎FRI-F56 Laptop,52990,66,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",DDR4,SSD,14,1200,Windows 11 OS,12,5,16,512,0,512,Intel,Windows,161.7253908
Lenovo,V15 82KDA01BIH Laptop,30849,62,5th Gen AMD Ryzen i3 5300U,"Quad Core, 8 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,5,3,8,512,0,512,AMD,Windows,141.2119981
HP,Victus 15-fa0070TX Laptop,58990,70,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,8,512,0,512,NVIDIA,Windows,141.2119981
Samsung,ZEB-NBC 2S Laptop,34990,63,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",LPDDR4X,SSD,15.6,1080,Windows 11 OS,11,5,16,512,0,512,Intel,Windows,141.2119981
Lenovo,ThinkBook 15 Gen 5 21JF0026MJ Laptop,49990,69,7th Gen AMD Ryzen i7 7730U,"Octa Core, 16 Threads",DDR4,SSD,16,1080,Windows 11 OS,7,7,16,512,0,512,AMD,Windows,137.6816981
HP,15S-FQ5202TU Laptop,51780,69.32352941,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,8,512,0,512,Intel,Windows,141.2119981
Asus,TUF Gaming F15 FX506HE-HN382W Gaming Laptop,68990,71,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,11,7,16,512,0,512,NVIDIA,Windows,141.2119981
Asus,TUF Gaming F15 FX577ZC-HN192W Gaming Laptop,85990,76,12th Gen Intel Core i7 12700H ,"14 Cores (6P + 8E), 20 Threads",DDR5,SSD,15.6,1080,Windows 11 OS,12,7,16,1000,0,1000,NVIDIA,Windows,141.2119981
Lenovo,LOQ 15IRH8 82XV00BQIN 2023 Gaming Laptop,96990,67,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",DDR5,SSD,15.6,1080,Windows 11 OS,13,7,16,512,0,512,NVIDIA,Windows,141.2119981
Lenovo,Legion Y9000X 2023 Laptop,148990,80,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",DDR5,SSD,16,2000,Windows 11 OS,13,9,32,1000,0,1000,NVIDIA,Windows,235.8495283
Asus,TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop,72990,75,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",DDR5,SSD,17.3,1080,Windows 11 OS,12,5,16,512,0,512,NVIDIA,Windows,127.3356746
Dell,Inspiron 5430 Laptop,84490,66,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",LPDDR5,SSD,14,1200,Windows 11 OS,13,7,16,1000,0,1000,Intel,Windows,161.7253908
Asus,Vivobook 15 X1502ZA-EJ741WS Laptop,60990,67,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,7,16,512,0,512,Intel,Windows,141.2119981
Infinix,INBook X2 Slim Series XL23 Laptop,33990,69.32352941,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",LPDDR4X,SSD,14,1080,Windows 11 OS,11,5,16,512,0,512,Intel,Windows,157.3505121
Asus,VivoBook 14 X415EA-EK344WS Notebook,35990,64,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,14,1080,Windows 11 OS,11,3,16,512,0,512,Intel,Windows,157.3505121
Acer,Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop,60990,70,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,16,512,0,512,NVIDIA,Windows,141.2119981
Xiaomi,Redmi Book 14 2023 Laptop,43990,69.32352941,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",DDR5,SSD,14,1800,Windows 11 OS,12,5,16,512,0,512,Intel,Windows,242.5880863
Asus,Vivobook 16X 2023 K3605ZF-MB541WS Laptop,62990,72,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",DDR4,SSD,16,1200,Windows 11 OS,12,5,16,512,0,512,NVIDIA,Windows,141.509717
MSI,GF63 Thin 11UC-1294IN Gaming Laptop,65990,76,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",DDR4,Hard_Disk,15.6,1080,Windows 11 OS,11,7,16,1000,1000,0,NVIDIA,Windows,141.2119981
Infinix,INBook Y1 Plus Neo XL30 Laptop,23990,69.32352941,11th Gen Intel Celeron i3 N5100,"Quad Core, 8 Threads",LPDDR4X,SSD,15.6,1080,Windows 11 OS,11,3,8,512,0,512,Intel,Windows,141.2119981
Asus,TUF Gaming F15 FX506HC-HN362WS Gaming Laptop,61990,72,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,11,5,16,512,0,512,NVIDIA,Windows,141.2119981
Dell,Inspiron 3525 Laptop,36990,62,5th Gen AMD Ryzen i3 5425U,"Quad Core, 8 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,5,3,8,512,0,512,AMD,Windows,141.2119981
Asus,Vivobook 16X 2022 M1603QA-MB511WS Laptop,50970,65,5th Gen AMD Ryzen i5 5600H,"Hexa Core, 12 Threads",DDR4,SSD,16,1200,Windows 11 OS,5,5,16,512,0,512,AMD,Windows,141.509717
Dell,Precision 5550 Laptop,184999,70,10th Gen Intel Core i7 10750H,"Hexa Core, 12 Threads",DDR4,SSD,15.6,1200,Windows 10 OS,10,7,16,512,0,512,NVIDIA,Windows,145.1381713
HP,Omen 16-XD0007ax Gaming Laptop,109990,76,7th Gen AMD Ryzen i7 7840HS,"Octa Core, 16 Threads",DDR5,SSD,16.1,1080,Windows 11 OS,7,7,16,1000,0,1000,NVIDIA,Windows,136.8265323
Samsung,Pro Series Z ZEB-NBC 4S Laptop,42990,69,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,16,512,0,512,Intel,Windows,141.2119981
HP,15s-fq5185TU Laptop,39150,69.32352941,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,3,8,512,0,512,Intel,Windows,141.2119981
Acer,Swift Go NXKPZSI002 Laptop,92999,64,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",LPDDR5,SSD,14,1800,Windows 11 OS,13,5,16,512,0,512,Intel,Windows,242.5880863
HP,Victus 16-s0095AX Gaming Laptop,80990,76,7th Gen AMD Ryzen i7 7840HS,"Octa Core, 16 Threads",DDR5,SSD,16.1,1080,Windows 11 OS,7,7,16,512,0,512,NVIDIA,Windows,136.8265323
HP,Victus 15-FB1001AX Gaming Laptop,55850,70,7th Gen AMD Ryzen i5 7535HS,"Hexa Core, 12 Threads",DDR5,SSD,15.6,1080,Windows 11 OS,7,5,8,512,0,512,NVIDIA,Windows,141.2119981
Acer,Aspire Lite AL15-51 UN.431SI.288 Laptop,38990,64,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,11,5,8,512,0,512,Intel,Windows,141.2119981
MSI,Thin GF63 11UCX-1492IN Gaming Laptop,53990,73,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",DDR4,Hard_Disk,15.6,1080,Windows 11 OS,11,5,16,1000,1000,0,NVIDIA,Windows,141.2119981
Infinix,INBook X3 Slim XL422 Laptop,38990,69.32352941,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",LPDDR4X,SSD,14,1080,Windows 11 OS,12,5,16,512,0,512,Intel,Windows,157.3505121
HP,Omen 16-xf0060AX Gaming Laptop,139234,80,7th Gen AMD Ryzen i7 7840HS,"Octa Core, 16 Threads",DDR5,SSD,16,1080,Windows 11 OS,7,7,16,1000,0,1000,NVIDIA,Windows,137.6816981
MSI,Thin GF63 11UC-1490IN Gaming Laptop,57990,73,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",DDR4,Hard_Disk,15.6,1080,Windows 11 OS,11,5,16,1000,1000,0,NVIDIA,Windows,141.2119981
Lenovo,LOQ 2023 Gaming Laptop,89999,64,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",DDR5,SSD,15.6,1080,Windows 11 OS,13,5,8,512,0,512,NVIDIA,Windows,141.2119981
Acer,One 14 Z8-415 ‎2023 Laptop,37990,60,11th Gen Intel Core i5  1135G7,"Quad Core, 8 Threads",DDR4,SSD,14,1080,Windows 11 OS,11,5,16,512,0,512,Intel,Windows,157.3505121
Asus,VivoBook 14 X415EA-EK326WS Notebook,30990,69.32352941,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,14,1080,Windows 11 OS,11,3,8,512,0,512,Intel,Windows,157.3505121
Dell,G15-5530 GN5530D83M6002ORB1 Gaming Laptop,92990,71,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",DDR5,SSD,15.6,1080,Windows 11 OS,13,5,16,512,0,512,NVIDIA,Windows,141.2119981
HP,15s-fr5009TU Laptop,42990,69.32352941,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,3,8,512,0,512,Intel,Windows,141.2119981
Asus,TUF Gaming F15 FX506HF-HN025W Gaming Laptop,59089,72,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,11,5,16,512,0,512,NVIDIA,Windows,141.2119981
HP,Victus 15-fa0998TX Gaming Laptop,72999,72,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,16,512,0,512,NVIDIA,Windows,141.2119981
HP,Omen 16-n0123AX Gaming Laptop,126742,77,6th Gen AMD Ryzen i7 6800H,"Octa Core, 16 Threads",DDR5,SSD,16.1,1440,Windows 11 OS,6,7,16,1000,0,1000,NVIDIA,Windows,182.4353764
Apple,MacBook Air 15 2023 Laptop,126990,69.32352941,10th Gen Apple M i7 M2,"Octa Core (4P + 4E), 12 Threads",DDR4,SSD,15.3,1864,Mac OS,10,7,8,256,0,256,Others,Mac,224.2210757
Samsung,Galaxy Book2 NP550XED-KA1IN 15 Laptop,49990,69.32352941,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",LPDDR4,SSD,15.6,1080,Windows 11 OS,12,5,8,512,0,512,Intel,Windows,141.2119981
Dell,Inspiron 5420 Laptop,74390,62,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",DDR5,SSD,14,1080,Windows 11 OS,12,5,16,512,0,512,Intel,Windows,157.3505121
Dell,Inspiron 3520 D560871WIN9B Laptop,52990,69.32352941,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,8,512,0,512,Intel,Windows,141.2119981
Lenovo,IdeaPad Gaming 3 15IHU6 82K101EDIN Laptop,60990,67,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,11,5,8,512,0,512,NVIDIA,Windows,141.2119981
HP,Omen 16-n0079AX Gaming Laptop,98174,80,6th Gen AMD Ryzen i7 6800H,"Octa Core, 16 Threads",DDR5,SSD,16.1,1080,Windows 11 OS,6,7,16,512,0,512,AMD,Windows,136.8265323
Asus,VivoBook 15 X515EA-EJ522WS Laptop,38990,60,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,11,5,8,512,0,512,Intel,Windows,141.2119981
HP,14s-fq1092au Laptop,41950,64,5th Gen AMD Ryzen i5 5500U,"Hexa Core, 12 Threads",DDR4,SSD,14,1080,Windows 11 OS,5,5,8,512,0,512,AMD,Windows,157.3505121
Xiaomi,Mi Notebook Ultra Laptop,46990,65,11th Gen Intel Core i5 11300H ,"Quad Core, 8 Threads",DDR4,SSD,15.6,2000,Windows 10  OS,11,5,16,512,0,512,Intel,Windows,241.8969521
Asus,Vivobook 15 X1502ZA-EJ385WS Laptop,40990,69.32352941,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,3,8,512,0,512,Intel,Windows,141.2119981
Lenovo,IdeaPad Gaming 3 82SB00V5IN Laptop,74990,67,6th Gen AMD Ryzen i7 6800H,"Octa Core, 16 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,6,7,8,512,0,512,NVIDIA,Windows,141.2119981
Samsung,ZEB-NBC 3S 2023 Laptop,33990,65,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,3,8,512,0,512,Intel,Windows,141.2119981
Samsung,Pro Series Z ZEB-NBC 4S 2023 Laptop,39990,66,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,8,512,0,512,Intel,Windows,141.2119981
Asus,CX1101CMA-GJ0004 Chromebook,10990,69.32352941,3rd Gen Intel Celeron i3 N4020,"Dual Core, 2 Threads",LPDDR4,Hard_Disk,11.6,768,Chrome OS,3,3,4,32,32,0,Intel,Chrome,135.0942112
MSI,Katana 15 B13UDXK-1482IN Gaming Laptop,88990,75,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",DDR5,SSD,15.6,1080,Windows 11 OS,13,5,32,1000,0,1000,NVIDIA,Windows,141.2119981
HP,15s-fy5007TU Laptop,54990,62,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,8,512,0,512,Intel,Windows,141.2119981
Lenovo,ThinkBook 15 G5 21JFA00BIN Laptop,49990,70,7th Gen AMD Ryzen i7 7730U,"Octa Core, 16 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,7,7,8,512,0,512,AMD,Windows,141.2119981
Asus,Vivobook 16 2023 X1605VA-MB947WS Laptop,80739,71,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",DDR4,SSD,16,1200,Windows 11 OS,13,9,16,512,0,512,Intel,Windows,141.509717
Lenovo,Thinkpad E15 G4 21DJA0Y0IN Laptop,62990,64,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,7,16,512,0,512,Intel,Windows,141.2119981
HP,Victus 15-fa1132TX Laptop,62990,66,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",DDR4,SSD,15.6,1080,Windows 11 OS,12,5,8,512,0,512,NVIDIA,Windows,141.2119981
